OS,FECHA,CODIGO,VARIEDAD,PROCESO,PRODUCTOR,CLIENTE,GC,RC,M,D,AW,%,Nº,VARIEDAD,PROCESO,PRODUCTOR,CODIGO PRODUCTOR,ORDEN,CLIENTE,FERMENTACION,DETALLE,PRECIO ,CODIGO LOTE,PC0,PC,HC0,HC,GC0,GC,RC0,RC
P,8/04/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANTIWAYTA,4,"3,485","0,00%",0,0,"12,88%",,,,,,,,,,,,,,,,,,,
P,8/04/2026,GE-LA-ALYA-1,GEISHA ,LAVADO,ALFONSO YARANGA,PANTIWAYTA,6,"5,21","10,50%",0,0,"13,17%",,,,,,,,,,,,,,,,,,,
P,8/04/2026,GE-LA-ISLA-1,GEISHA ,LAVADO,ISAIAS,PANTIWAYTA,"2,845","2,505","10,40%",0,0,"11,95%",,,,,,,,,,,,,,,,,,,
P,8/04/2026,GE-LA-ISLA-2,GEISHA,LAVADO,ISAIAS,PANTIWAYTA,4,"3,465","11,00%",0,0,"13,38%",,,,,,,,,,,,,,,,,,,
P,8/04/2026,GE-LA-MACA-2,GEISHA ,LAVADO,MAXIMO,PANTIWAYTA,4,"3,475","10,20%",0,0,"13,13%",,,,,,,,,,,,,,,,,,,
P,8/04/2026,GE-NA-ISLA-1,GEISHA,LAVADO,NATURAL,PANTIWAYTA,4,"3,475","11,20%",0,0,"13,13%",,,,,,,,,,,,,,,,,,,
P,8/04/2026,OB-LA-ISLA-1,OBATA,LAVADO,,PANTIWAYTA,6,"5,185","10,20%",0,0,"13,58%",,,,,,,,,,,,,,,,,,,
P,11/04/2026,CA-LA-ALYA-1,CATIMOR,LAVADO,ALFONSO,PANTIWAYTA,"7,065","6,155","10,00%",0,0,"12,88%",,,,,,,,,,,,,,,,,,,
45,11/04/2026,CA-LA-ALYA-MIROSHNIK1,CATIMOR,LAVADO,ISAIAS,MIROSHNIK,"20,135","17,295","12,00%",0,0,"14,12%",,,,,,,,,,,,,,,,,,,
46,11/04/2026,CA-LA-ISLA-1,CATIMOR,LAVADO,ISAIAS,MISKIWARMI,"10,02","8,655","10,00%",0,0,"13,62%",,,,,,,,,,,,,,,,,,,
47,11/04/2026,CA-LA-ISLA-1,CATIMOR,LAVADO,ISAIAS,MISKIWARMI,5,"4,3","10,00 %",,,"14,00%",,,,,,,,,,,,,,,,,,,
P,13/04/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANTIWAYTA,4,"3,45","11,30%",0,0,"13,75%",,,,,,,,,,,,,,,,,,,
P,13/04/2026,GE-LA-ISLA-2,GEISHA,LAVADO,ISAIAS,PANTIWAYTA,4,"3,47","11,00%",0,0,"13,25%",,,,,,,,,,,,,,,,,,,
P,13/04/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS,PANTIWAYTA,4,"3,48","11,20%",0,0,"13,00%",,,,,,,,,,,,,,,,,,,
48,20/04/2026,BL-LA-ANSELMO-YANETH1,CATURRA,LAVADO,ANSELMO,YANETH,"16,26","13,97","10,90%",0,0,"14,21%",,,,,,,,,,,,,,,,,,,
49,20/04/2026,BL-LA-NN-GEORGE1,BLEND,LAVADO,NN,GEORGE,"4,12","3,605","10,10%",0,0,"12,50%",,,,,,,,,,,,,,,,,,,
P,20/04/2026,GE-LA-ALYA-1,GEISHA,LAVADO,ALFONSO,PANTIWAYTA,6,"5,2","11,00%",0,0,"13,33%",,,,,,,,,,,,,,,,,,,
50,1/05/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS,MARIO,"4,025","3,495","10,20%",0,0,"13,17%",,,,,,,,,,,,,,,,,,,
